date,lowbound_10th_hosp,median_hosp,upbound_90th_hosp,lowbound_10th_icu,median_icu,upbound_90th_icu,lowbound_10th_deaths,median_deaths,upbound_90th_deaths,lowbound_10th_rt,median_rt,upbound_90th_rt,county
2020-05-06,96.51,102.87,109.58,36.09,38.62,41.31,60.84,63.21,65.45,1,1.08,1.16,Alameda
2020-05-07,96.57,102.97,109.63,36.12,38.64,41.31,62.14,64.51,66.72,1,1.08,1.16,Alameda
2020-05-08,96.71,103.11,109.8,36.17,38.69,41.34,63.43,65.81,68.01,1,1.08,1.16,Alameda
2020-05-09,96.9,103.32,109.93,36.26,38.77,41.4,64.72,67.11,69.3,1,1.08,1.16,Alameda
2020-05-10,97.27,103.65,110.22,36.37,38.89,41.49,66.02,68.41,70.6,1,1.08,1.16,Alameda
2020-05-11,97.57,103.95,110.5,36.5,39,41.62,67.31,69.71,71.88,0.99,1.08,1.15,Alameda
2020-05-12,97.9,104.34,110.91,36.67,39.16,41.75,68.64,71,73.19,0.97,1.06,1.15,Alameda
2020-05-13,98.3,104.75,111.42,36.79,39.33,41.89,69.93,72.29,74.48,0.95,1.05,1.13,Alameda
2020-05-14,98.75,105.26,111.95,36.93,39.49,42.09,71.25,73.61,75.79,0.9,1.02,1.11,Alameda
2020-05-15,99.1,105.78,112.66,37.08,39.68,42.32,72.55,74.93,77.12,0.85,0.99,1.09,Alameda
2020-05-16,99.48,106.34,113.41,37.23,39.87,42.59,73.87,76.26,78.45,0.82,0.95,1.06,Alameda
2020-05-17,99.84,106.93,114.19,37.37,40.06,42.89,75.19,77.6,79.76,0.78,0.91,1.03,Alameda
2020-05-18,100.06,107.47,114.86,37.52,40.26,43.12,76.54,78.94,81.1,0.75,0.88,1.01,Alameda
2020-05-19,100.34,107.94,115.42,37.59,40.44,43.35,77.9,80.27,82.46,0.73,0.86,1,Alameda
2020-05-20,100.45,108.34,115.94,37.66,40.55,43.53,79.25,81.64,83.8,0.72,0.85,0.99,Alameda
2020-05-21,100.51,108.49,116.29,37.69,40.63,43.67,80.61,82.98,85.16,0.71,0.85,0.99,Alameda
2020-05-22,100.47,108.5,116.51,37.75,40.67,43.7,81.97,84.34,86.52,0.7,0.85,0.99,Alameda
2020-05-23,100.44,108.44,116.46,37.71,40.66,43.67,83.3,85.69,87.9,0.7,0.85,0.99,Alameda
2020-05-24,100.24,108.19,116.2,37.64,40.58,43.56,84.66,87.05,89.28,0.71,0.85,0.99,Alameda
2020-05-25,100.03,107.9,115.7,37.57,40.43,43.42,86.02,88.41,90.64,0.72,0.86,0.99,Alameda
2020-05-26,99.67,107.44,115.1,37.42,40.26,43.23,87.36,89.78,91.99,0.73,0.87,0.99,Alameda
2020-05-27,99.01,106.85,114.29,37.24,40.03,43.02,88.71,91.12,93.35,0.76,0.89,1.01,Alameda
2020-05-28,98.44,106.16,113.48,37,39.79,42.75,90.02,92.46,94.69,0.78,0.92,1.04,Alameda
2020-05-29,97.81,105.39,112.69,36.79,39.52,42.44,91.38,93.79,96.02,0.82,0.94,1.08,Alameda
2020-05-30,97.14,104.61,111.71,36.48,39.24,42.12,92.7,95.11,97.34,0.85,0.97,1.12,Alameda
2020-05-31,96.24,103.68,110.88,36.13,38.94,41.8,94,96.42,98.68,0.87,1,1.15,Alameda
2020-06-01,95.31,102.8,109.97,35.83,38.62,41.56,95.29,97.72,99.98,0.88,1.03,1.18,Alameda
2020-06-02,94.4,101.93,109.19,35.52,38.31,41.26,96.59,99,101.28,0.89,1.04,1.2,Alameda
2020-06-03,93.43,101.17,108.46,35.18,38.01,40.98,97.87,100.29,102.57,0.89,1.05,1.23,Alameda
2020-06-04,92.69,100.4,107.76,34.87,37.72,40.74,99.12,101.56,103.85,0.89,1.06,1.24,Alameda
2020-06-05,92.01,99.69,107.1,34.59,37.47,40.44,100.37,102.82,105.16,0.89,1.06,1.25,Alameda
2020-06-06,91.37,99.06,106.45,34.35,37.24,40.22,101.6,104.08,106.41,0.9,1.06,1.25,Alameda
2020-06-07,90.85,98.5,105.89,34.14,37.02,39.97,102.83,105.32,107.65,0.91,1.07,1.25,Alameda
2020-06-08,90.42,97.99,105.38,34.02,36.84,39.8,104.05,106.56,108.91,0.93,1.08,1.25,Alameda
2020-06-09,90.27,97.54,104.86,33.92,36.69,39.66,105.28,107.78,110.16,0.95,1.1,1.26,Alameda
2020-06-10,90.13,97.18,104.37,33.85,36.57,39.49,106.47,109,111.4,0.98,1.14,1.27,Alameda
2020-06-11,90.14,96.98,103.9,33.78,36.49,39.34,107.68,110.21,112.63,1.02,1.17,1.28,Alameda
2020-06-12,90.22,96.84,103.6,33.76,36.42,39.25,108.88,111.42,113.89,1.07,1.19,1.29,Alameda
2020-06-13,90.24,96.81,103.51,33.83,36.4,39.2,110.09,112.65,115.13,1.12,1.21,1.31,Alameda
2020-06-14,90.47,96.96,103.62,33.88,36.43,39.22,111.28,113.86,116.36,1.15,1.22,1.32,Alameda
2020-06-15,90.72,97.21,103.76,33.98,36.51,39.29,112.49,115.08,117.61,1.16,1.23,1.33,Alameda
2020-06-16,91.16,97.66,104.19,34.11,36.67,39.46,113.7,116.31,118.85,1.16,1.24,1.33,Alameda
2020-06-17,91.68,98.23,104.83,34.26,36.9,39.66,114.9,117.55,120.09,1.16,1.24,1.34,Alameda
2020-06-18,92.4,99,105.73,34.52,37.18,39.94,116.1,118.77,121.34,1.17,1.24,1.34,Alameda
2020-06-19,93.28,100.01,106.8,34.83,37.52,40.32,117.32,120.02,122.62,1.16,1.24,1.34,Alameda
2020-06-20,94.35,101.13,108.02,35.19,37.92,40.73,118.56,121.28,123.89,1.16,1.24,1.34,Alameda
2020-06-21,95.54,102.47,109.39,35.63,38.39,41.22,119.8,122.54,125.2,1.16,1.24,1.34,Alameda
2020-06-22,96.95,103.93,110.72,36.13,38.89,41.76,121.06,123.83,126.5,1.16,1.24,1.34,Alameda
2020-06-23,98.44,105.58,112.4,36.67,39.46,42.34,122.34,125.13,127.85,1.16,1.24,1.34,Alameda
2020-06-24,100.19,107.32,114.14,37.32,40.09,43,123.64,126.46,129.18,1.16,1.24,1.34,Alameda
2020-06-25,102.07,109.25,116.06,38.04,40.76,43.66,124.96,127.81,130.57,1.16,1.24,1.34,Alameda
2020-06-26,104.13,111.37,118.09,38.78,41.51,44.44,126.3,129.17,131.98,1.16,1.24,1.34,Alameda
2020-06-27,106.36,113.57,120.19,39.6,42.29,45.18,127.62,130.53,133.41,1.16,1.24,1.34,Alameda
2020-06-28,108.86,115.88,122.52,40.47,43.16,46,128.97,131.94,134.87,1.16,1.24,1.34,Alameda
2020-06-29,111.47,118.33,125,41.38,44.05,46.85,130.38,133.35,136.36,1.16,1.24,1.34,Alameda
2020-06-30,114.02,120.93,127.45,42.38,44.98,47.8,131.78,134.84,137.89,1.16,1.24,1.34,Alameda
2020-07-01,116.8,123.7,130.12,43.36,45.98,48.8,133.24,136.32,139.43,1.16,1.24,1.33,Alameda
2020-07-02,119.67,126.6,133.01,44.39,47.04,49.85,134.73,137.86,141.01,1.16,1.23,1.33,Alameda
2020-07-03,122.59,129.53,136.21,45.48,48.17,51.01,136.25,139.43,142.63,1.14,1.22,1.31,Alameda
2020-07-04,125.53,132.69,139.48,46.57,49.31,52.27,137.79,141.04,144.31,1.1,1.21,1.3,Alameda
2020-07-05,128.5,135.89,143.14,47.66,50.51,53.48,139.41,142.68,146.02,0.99,1.19,1.28,Alameda
2020-07-06,131.61,139.23,146.94,48.76,51.76,54.88,141.03,144.35,147.75,0.89,1.16,1.26,Alameda
2020-07-07,134.71,142.63,150.83,49.9,53.01,56.32,142.71,146.07,149.54,0.82,1.11,1.25,Alameda
2020-07-08,137.91,146.12,154.84,51.02,54.26,57.78,144.4,147.85,151.39,0.75,1.05,1.24,Alameda
2020-07-09,140.91,149.61,158.63,52.15,55.55,59.19,146.12,149.67,153.27,0.71,1.01,1.25,Alameda
2020-07-10,143.99,153.03,162.3,53.32,56.82,60.54,147.91,151.52,155.17,0.68,0.98,1.26,Alameda
2020-07-11,147.06,156.32,165.6,54.44,58.01,61.74,149.74,153.43,157.17,0.66,0.96,1.26,Alameda
2020-07-12,149.9,159.31,168.51,55.47,59.13,62.86,151.62,155.36,159.15,0.64,0.95,1.27,Alameda
2020-07-13,152.5,162.1,171.32,56.44,60.14,64,153.54,157.32,161.25,0.64,0.94,1.27,Alameda
2020-07-14,154.97,164.55,173.92,57.31,61.09,65.02,155.46,159.33,163.36,0.63,0.94,1.27,Alameda
2020-07-15,156.79,166.77,176.3,58,61.93,65.94,157.43,161.38,165.49,0.63,0.94,1.28,Alameda
2020-07-16,158,168.76,179.09,58.5,62.7,66.97,159.43,163.44,167.65,0.63,0.94,1.28,Alameda
2020-07-17,158.59,170.54,181.85,58.63,63.35,68.05,161.47,165.53,169.84,0.63,0.94,1.27,Alameda
2020-07-18,158.09,172.13,185.3,58.55,63.91,69.33,163.48,167.64,172.06,0.63,0.94,1.27,Alameda
2020-07-19,157.27,173.39,189.29,58.27,64.4,70.69,165.49,169.76,174.31,0.63,0.94,1.27,Alameda
2020-07-20,156.12,174.41,193.37,57.82,64.75,72.27,167.52,171.93,176.6,0.63,0.94,1.27,Alameda
2020-07-21,154.17,175.21,197.62,57.22,65.11,73.86,169.56,174.09,178.86,0.62,0.94,1.27,Alameda
2020-07-22,151.68,175.68,202.78,56.5,65.44,75.66,171.6,176.26,181.17,,,,Alameda
2020-07-23,148.89,176.08,208.32,55.63,65.63,77.62,173.63,178.47,183.58,,,,Alameda
2020-07-24,146.05,176.6,214.11,54.59,65.83,79.73,175.65,180.7,185.97,,,,Alameda
2020-07-25,142.76,176.82,220.41,53.54,65.92,81.82,177.69,182.93,188.41,,,,Alameda
2020-07-26,139.34,176.8,226.73,52.3,66.01,84.08,179.65,185.16,190.91,,,,Alameda
2020-07-27,135.99,176.61,232.69,51.04,65.98,86.39,181.58,187.41,193.47,,,,Alameda
2020-07-28,132.13,176.52,239.3,49.75,65.9,88.76,183.49,189.66,196.13,,,,Alameda
2020-07-29,128.33,176.32,245.77,48.45,65.89,91.3,185.33,191.85,198.92,,,,Alameda
2020-07-30,124.31,175.75,253.22,47.11,65.83,93.78,187.16,194.06,201.75,,,,Alameda
2020-07-31,120.63,175.35,260.52,45.83,65.73,96.49,188.94,196.31,204.55,,,,Alameda
2020-08-01,117.02,174.78,268.13,44.47,65.55,99.42,190.68,198.45,207.54,,,,Alameda
2020-08-02,113.22,174.34,276.18,43.19,65.31,102.13,192.32,200.65,210.72,,,,Alameda
2020-08-03,109.48,173.76,283.43,41.83,64.98,105.2,193.91,202.85,214.1,,,,Alameda
2020-08-04,105.75,172.83,292.11,40.47,64.76,108.31,195.46,205.03,217.58,,,,Alameda
2020-08-05,101.89,172.2,300.37,39.14,64.55,111.57,196.87,207.25,221.04,,,,Alameda
2020-08-06,98.42,171.27,309.3,37.75,64.22,114.97,198.38,209.47,224.68,,,,Alameda
2020-08-07,94.92,170.65,318.24,36.41,63.9,118.34,199.76,211.63,228.28,,,,Alameda
2020-08-08,91.28,169.76,328.33,35.13,63.57,122.02,201.09,213.77,232.04,,,,Alameda
2020-08-09,87.93,168.46,338.68,33.9,63.27,125.69,202.4,215.82,236.28,,,,Alameda
2020-08-10,84.63,167.26,348.8,32.6,62.89,129.63,203.57,218,240.43,,,,Alameda
2020-08-11,81.2,165.72,359.41,31.43,62.45,133.59,204.78,220.09,244.16,,,,Alameda
2020-08-12,77.95,164.4,371.28,30.18,62.06,137.93,205.93,222.09,248.26,,,,Alameda
2020-08-13,74.83,163.28,382.77,29.02,61.73,142.09,206.99,224.14,252.78,,,,Alameda
2020-08-14,71.71,162.31,394.68,27.89,61.28,146.57,207.99,226.28,257.41,,,,Alameda
2020-08-15,68.88,161.25,407.15,26.77,60.92,151.32,209.03,228.38,262.5,,,,Alameda
2020-03-15,0.06,0.31,1.06,0.02,0.12,0.42,0,0.02,0.05,0.88,1.6,3.06,Butte
2020-03-16,0.07,0.35,1.18,0.03,0.14,0.47,0,0.02,0.06,0.86,1.55,3,Butte
2020-03-17,0.08,0.39,1.29,0.03,0.16,0.52,0,0.02,0.07,0.86,1.5,2.89,Butte
2020-03-18,0.09,0.44,1.42,0.03,0.17,0.57,0.01,0.03,0.08,0.86,1.43,2.74,Butte
2020-03-19,0.09,0.49,1.52,0.04,0.19,0.62,0.01,0.03,0.1,0.88,1.35,2.49,Butte
2020-03-20,0.1,0.54,1.63,0.04,0.21,0.66,0.01,0.03,0.11,0.88,1.28,2.21,Butte
2020-03-21,0.12,0.58,1.74,0.05,0.23,0.71,0.01,0.04,0.12,0.88,1.22,1.93,Butte
2020-03-22,0.13,0.63,1.86,0.05,0.26,0.76,0.01,0.04,0.14,0.87,1.17,1.74,Butte
2020-03-23,0.14,0.68,1.96,0.06,0.28,0.82,0.01,0.05,0.15,0.86,1.14,1.62,Butte
2020-03-24,0.15,0.73,2.08,0.06,0.3,0.86,0.01,0.06,0.17,0.86,1.12,1.56,Butte
2020-03-25,0.17,0.79,2.18,0.07,0.32,0.9,0.01,0.06,0.19,0.85,1.11,1.52,Butte
2020-03-26,0.18,0.84,2.29,0.07,0.34,0.93,0.01,0.07,0.21,0.84,1.1,1.51,Butte
2020-03-27,0.19,0.88,2.37,0.08,0.36,0.98,0.02,0.08,0.23,0.84,1.1,1.51,Butte
2020-03-28,0.2,0.92,2.47,0.08,0.38,1.02,0.02,0.09,0.25,0.84,1.1,1.5,Butte
2020-03-29,0.22,0.96,2.56,0.09,0.4,1.07,0.02,0.1,0.27,0.83,1.1,1.5,Butte
2020-03-30,0.23,0.99,2.65,0.09,0.42,1.1,0.02,0.11,0.29,0.84,1.1,1.5,Butte
2020-03-31,0.24,1.03,2.72,0.1,0.44,1.14,0.02,0.12,0.32,0.84,1.1,1.49,Butte
2020-04-01,0.25,1.06,2.76,0.11,0.45,1.16,0.03,0.13,0.34,0.84,1.09,1.49,Butte
2020-04-02,0.27,1.1,2.81,0.11,0.47,1.18,0.03,0.14,0.36,0.84,1.09,1.49,Butte
2020-04-03,0.28,1.13,2.84,0.12,0.49,1.2,0.03,0.15,0.39,0.85,1.09,1.48,Butte
2020-04-04,0.29,1.16,2.88,0.12,0.5,1.23,0.04,0.16,0.41,0.84,1.09,1.48,Butte
2020-04-05,0.3,1.19,2.92,0.13,0.52,1.26,0.04,0.17,0.44,0.84,1.09,1.47,Butte
2020-04-06,0.31,1.21,2.95,0.14,0.53,1.28,0.04,0.18,0.47,0.84,1.09,1.47,Butte
2020-04-07,0.33,1.24,2.97,0.14,0.55,1.29,0.05,0.19,0.49,0.84,1.09,1.47,Butte
2020-04-08,0.34,1.27,3,0.15,0.56,1.31,0.05,0.21,0.52,0.84,1.09,1.47,Butte
2020-04-09,0.36,1.29,3.03,0.16,0.57,1.33,0.05,0.22,0.55,0.84,1.09,1.47,Butte
2020-04-10,0.37,1.31,3.03,0.16,0.58,1.34,0.06,0.23,0.57,0.84,1.09,1.47,Butte
2020-04-11,0.39,1.33,3.03,0.17,0.59,1.35,0.06,0.25,0.6,0.84,1.09,1.47,Butte
2020-04-12,0.41,1.35,3.05,0.18,0.6,1.36,0.07,0.26,0.63,0.84,1.09,1.47,Butte
2020-04-13,0.43,1.37,3.06,0.18,0.62,1.36,0.07,0.27,0.65,0.85,1.09,1.47,Butte
2020-04-14,0.45,1.4,3.07,0.19,0.63,1.37,0.07,0.29,0.68,0.85,1.09,1.47,Butte
2020-04-15,0.46,1.42,3.06,0.2,0.64,1.38,0.08,0.3,0.71,0.85,1.09,1.46,Butte
2020-04-16,0.48,1.45,3.06,0.21,0.65,1.39,0.08,0.32,0.73,0.85,1.09,1.46,Butte
2020-04-17,0.51,1.47,3.06,0.22,0.66,1.39,0.09,0.33,0.76,0.85,1.09,1.46,Butte
2020-04-18,0.53,1.48,3.07,0.23,0.67,1.4,0.09,0.35,0.79,0.85,1.09,1.45,Butte
2020-04-19,0.55,1.5,3.07,0.24,0.68,1.41,0.1,0.36,0.82,0.85,1.09,1.45,Butte
2020-04-20,0.57,1.52,3.07,0.25,0.69,1.41,0.11,0.38,0.85,0.85,1.09,1.45,Butte
2020-04-21,0.59,1.54,3.05,0.26,0.69,1.41,0.11,0.39,0.88,0.85,1.09,1.45,Butte
2020-04-22,0.61,1.56,3.06,0.27,0.7,1.41,0.12,0.41,0.91,0.85,1.09,1.46,Butte
2020-04-23,0.63,1.58,3.06,0.28,0.72,1.41,0.12,0.42,0.94,0.85,1.09,1.45,Butte
2020-04-24,0.65,1.59,3.07,0.29,0.72,1.42,0.13,0.44,0.97,0.85,1.09,1.45,Butte
2020-04-25,0.67,1.61,3.07,0.3,0.73,1.41,0.14,0.45,0.99,0.85,1.09,1.45,Butte
2020-04-26,0.7,1.63,3.08,0.3,0.74,1.41,0.15,0.47,1.02,0.85,1.09,1.45,Butte
2020-04-27,0.72,1.64,3.08,0.32,0.75,1.41,0.15,0.49,1.05,0.85,1.09,1.46,Butte
2020-04-28,0.75,1.65,3.08,0.33,0.76,1.4,0.16,0.51,1.07,0.85,1.09,1.45,Butte
2020-04-29,0.77,1.66,3.08,0.34,0.76,1.41,0.17,0.52,1.1,0.85,1.08,1.45,Butte
2020-04-30,0.8,1.69,3.07,0.35,0.77,1.41,0.18,0.54,1.13,0.85,1.08,1.46,Butte
2020-05-01,0.82,1.71,3.06,0.36,0.78,1.42,0.19,0.56,1.16,0.85,1.08,1.46,Butte
2020-05-02,0.84,1.72,3.05,0.37,0.79,1.42,0.2,0.58,1.19,0.85,1.08,1.46,Butte
2020-05-03,0.87,1.75,3.03,0.39,0.8,1.42,0.21,0.6,1.22,0.85,1.08,1.46,Butte
2020-05-04,0.89,1.77,3.04,0.4,0.81,1.43,0.22,0.61,1.25,0.85,1.08,1.46,Butte
2020-05-05,0.92,1.79,3.04,0.41,0.82,1.43,0.23,0.63,1.27,0.84,1.08,1.47,Butte
2020-05-06,0.94,1.81,3.06,0.42,0.83,1.43,0.24,0.65,1.3,0.84,1.08,1.47,Butte
2020-05-07,0.96,1.83,3.07,0.43,0.84,1.43,0.25,0.67,1.33,0.84,1.08,1.47,Butte
2020-05-08,0.98,1.86,3.09,0.44,0.85,1.44,0.27,0.69,1.37,0.84,1.08,1.47,Butte
2020-05-09,0.99,1.88,3.11,0.45,0.86,1.45,0.28,0.71,1.39,0.85,1.08,1.47,Butte
2020-05-10,1,1.9,3.13,0.47,0.87,1.46,0.29,0.73,1.42,0.85,1.09,1.46,Butte
2020-05-11,1.03,1.92,3.17,0.48,0.88,1.47,0.31,0.75,1.44,0.86,1.09,1.45,Butte
2020-05-12,1.05,1.94,3.2,0.48,0.89,1.48,0.32,0.77,1.47,0.86,1.09,1.44,Butte
2020-05-13,1.06,1.96,3.26,0.49,0.9,1.5,0.33,0.79,1.5,0.87,1.09,1.42,Butte
2020-05-14,1.08,1.99,3.3,0.5,0.91,1.51,0.35,0.81,1.52,0.88,1.1,1.42,Butte
2020-05-15,1.09,2.03,3.33,0.51,0.92,1.53,0.36,0.83,1.55,0.88,1.1,1.42,Butte
2020-05-16,1.11,2.05,3.38,0.51,0.94,1.55,0.38,0.85,1.57,0.87,1.1,1.45,Butte
2020-05-17,1.12,2.07,3.42,0.52,0.96,1.56,0.4,0.87,1.6,0.85,1.11,1.47,Butte
2020-05-18,1.13,2.1,3.45,0.53,0.97,1.58,0.41,0.89,1.63,0.84,1.11,1.49,Butte
2020-05-19,1.14,2.13,3.49,0.53,0.98,1.6,0.43,0.91,1.66,0.83,1.11,1.5,Butte
2020-05-20,1.15,2.15,3.54,0.54,0.99,1.63,0.45,0.94,1.69,0.82,1.11,1.51,Butte
2020-05-21,1.17,2.17,3.59,0.54,1,1.65,0.47,0.96,1.71,0.82,1.11,1.52,Butte
2020-05-22,1.18,2.21,3.63,0.55,1.02,1.66,0.48,0.98,1.75,0.82,1.12,1.52,Butte
2020-05-23,1.19,2.23,3.66,0.55,1.03,1.68,0.5,1.01,1.77,0.82,1.12,1.52,Butte
2020-05-24,1.21,2.25,3.69,0.56,1.04,1.7,0.53,1.03,1.8,0.83,1.13,1.53,Butte
2020-05-25,1.22,2.27,3.72,0.57,1.05,1.71,0.55,1.06,1.83,0.85,1.15,1.56,Butte
2020-05-26,1.24,2.3,3.75,0.58,1.07,1.73,0.57,1.08,1.86,0.87,1.19,1.6,Butte
2020-05-27,1.26,2.34,3.79,0.58,1.08,1.74,0.59,1.1,1.89,0.91,1.24,1.68,Butte
2020-05-28,1.28,2.38,3.81,0.59,1.09,1.76,0.61,1.13,1.91,0.96,1.3,1.77,Butte
2020-05-29,1.3,2.42,3.85,0.61,1.11,1.77,0.64,1.15,1.94,1.01,1.36,1.86,Butte
2020-05-30,1.32,2.45,3.89,0.62,1.12,1.79,0.66,1.18,1.97,1.07,1.42,1.93,Butte
2020-05-31,1.35,2.49,3.94,0.63,1.14,1.81,0.69,1.2,2,1.12,1.47,2.01,Butte
2020-06-01,1.38,2.54,3.99,0.64,1.15,1.82,0.71,1.23,2.03,1.14,1.51,2.05,Butte
2020-06-02,1.41,2.58,4.05,0.65,1.18,1.84,0.73,1.26,2.06,1.15,1.53,2.07,Butte
2020-06-03,1.46,2.64,4.09,0.67,1.2,1.86,0.76,1.28,2.09,1.16,1.54,2.08,Butte
